Date,close,location
2020-04-06,9763.82,New Zealand
2020-04-03,9935.18,New Zealand
2020-04-02,9870.56,New Zealand
2020-04-01,9926.08,New Zealand
2020-03-31,9796.75,New Zealand
2020-03-30,9661.19,New Zealand
2020-03-27,9556.73,New Zealand
2020-03-26,9632.47,New Zealand
2020-03-25,9264.38,New Zealand
2020-03-24,9109.15,New Zealand
2020-03-23,8498.7,New Zealand
2020-03-20,9196.42,New Zealand
2020-03-19,9205.84,New Zealand
2020-03-18,9454.89,New Zealand
2020-03-17,9434.42,New Zealand
2020-03-16,9476.94,New Zealand
2020-03-13,9826.86,New Zealand
2020-03-12,10333.27,New Zealand
2020-03-11,10873.6,New Zealand
2020-03-10,10897.47,New Zealand
2020-03-09,11091.81,New Zealand
2020-03-06,11425.9,New Zealand
2020-03-05,11640.89,New Zealand
2020-03-04,11417.78,New Zealand
2020-03-03,11346.31,New Zealand
2020-03-02,11103.43,New Zealand
2020-02-28,11261.16,New Zealand
2020-02-27,11437.17,New Zealand
2020-02-26,11533.86,New Zealand
2020-02-25,11719.23,New Zealand
2020-02-24,11857.12,New Zealand
2020-02-21,12073.34,New Zealand
2020-02-20,12064.86,New Zealand
2020-02-19,11981.03,New Zealand
2020-02-18,11935.84,New Zealand
2020-02-17,11873.98,New Zealand
2020-02-14,11834.83,New Zealand
2020-02-13,11880.84,New Zealand
2020-02-12,11898.24,New Zealand
2020-02-11,11834.54,New Zealand
2020-02-10,11702.59,New Zealand
2020-02-07,11760.88,New Zealand
2020-02-05,11604.08,New Zealand
2020-02-04,11511.49,New Zealand
2020-02-03,11550.16,New Zealand
2020-01-31,11717.44,New Zealand
2020-01-30,11665.65,New Zealand
2020-01-29,11676.51,New Zealand
2020-01-28,11685.11,New Zealand
2020-01-27,11807.14,New Zealand
2020-01-24,11877.81,New Zealand
2020-01-23,11901.11,New Zealand
2020-01-22,11889.68,New Zealand
2020-01-21,11805.14,New Zealand
2020-01-20,11746.95,New Zealand
2020-01-17,11800.21,New Zealand
2020-01-16,11737.86,New Zealand
2020-01-15,11676.67,New Zealand
2020-01-14,11625.13,New Zealand
2020-01-13,11543.67,New Zealand
2020-01-10,11551.7,New Zealand
2020-01-09,11537.68,New Zealand
2020-01-08,11556.98,New Zealand
2020-01-07,11629.86,New Zealand
2020-01-06,11627.32,New Zealand
2020-01-03,11593.14,New Zealand
2021-04-30,43703.56,United States
2021-04-29,44054.28,United States
2021-04-28,43853.43,United States
2021-04-27,43888.83,United States
2021-04-26,43893.23,United States
2021-04-23,43736.0,United States
2021-04-22,43211.42,United States
2021-04-21,43550.95,United States
2021-04-20,43082.47,United States
2021-04-19,43446.6,United States
2021-04-16,43735.05,United States
2021-04-15,43609.98,United States
2021-04-14,43146.17,United States
2021-04-13,43287.74,United States
2021-04-12,43131.45,United States
2021-04-09,43142.13,United States
2021-04-08,42859.61,United States
2021-04-07,42633.1,United States
2021-04-06,42660.32,United States
2021-04-05,42660.13,United States
2021-04-01,42138.34,United States
2021-03-31,41602.65,United States
2021-03-30,41386.65,United States
2021-03-29,41411.96,United States
2021-03-26,41604.09,United States
2021-03-25,40934.15,United States
2021-03-24,40657.23,United States
2021-03-23,41011.38,United States
2021-03-22,41475.25,United States
2021-03-19,41251.19,United States
2021-03-18,41210.9,United States
2021-03-17,41945.87,United States
2021-03-16,41804.0,United States
2021-03-15,41966.28,United States
2021-03-12,41665.73,United States
2021-03-11,41603.79,United States
2021-03-10,41060.42,United States
2021-03-09,40785.52,United States
2021-03-08,40139.84,United States
2021-03-05,40359.08,United States
2021-03-04,39614.97,United States
2021-03-03,40266.55,United States
2021-03-02,40863.51,United States
2021-03-01,41265.84,United States
2021-02-26,40254.06,United States
2021-02-25,40383.44,United States
2021-02-24,41490.07,United States
2021-02-23,41011.26,United States
2021-02-22,41018.7,United States
2021-02-19,41413.61,United States
2021-02-18,41346.77,United States
2021-02-17,41591.17,United States
2021-02-16,41672.04,United States
2021-02-12,41733.23,United States
2021-02-11,41536.07,United States
2021-02-10,41441.66,United States
2021-02-09,41459.99,United States
2021-02-08,41459.82,United States
2021-02-05,41074.0,United States
2021-02-04,40846.25,United States
2021-02-03,40361.37,United States
2021-02-02,40309.71,United States
2021-02-01,39729.11,United States
2021-01-29,39056.49,United States
2021-01-28,39790.95,United States
